variant,label,family,description,queries,answerable_queries,no_match_queries,hard_negative_queries,hit_at_1,hit_at_k,mean_precision,mean_recall,mrr,no_match_rejection_rate,hard_negative_false_positive_rate,mean_evidence_tokens,mean_global_tokens,map_index_tokens,mean_total_context_tokens,llm_planner_net_vs_naive,map_index_over_naive_evidence,mean_token_delta,mean_token_delta_pct,mean_selected_sections,mean_route_steps,routing_engaged_rate,reflection_on_answerable,mean_nodes_scored,mean_latency_ms,p95_latency_ms
naive_vector_rag,Naive vector RAG,baseline,"Naive dense retrieval over the whole corpus with no agent and no map, scored with deterministic hash embeddings.",31,25,6,2,0.84,1.0,0.1438,1.0,0.91,0.0,1.0,221.96,157.08,0,221.96,64.88,0.0,64.88,101.242,0.0,0.0,0.0,0,48.0,1.3421,1.516
global_topk,Naive lexical RAG (BM25 top-k),baseline,"Unrestricted BM25 retrieval over the whole corpus, same top-k cap.",31,25,6,2,1.0,1.0,0.2858,1.0,1.0,0.6667,1.0,157.08,157.08,0,157.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48.0,0.1559,0.199
agentic_no_map,Agentic text RAG (no map),ablation,"Same observe/plan/act loop and deterministic keyword planner, but over flat chunk cards with no document grouping, hierarchy, or adjacency.",31,25,6,2,1.0,1.0,0.3467,1.0,1.0,0.6667,1.0,104.36,157.08,0,104.36,-52.72,0.0,-52.72,-24.374,2.8387,1.871,0.0,0,2.8387,0.1905,0.225
map_agent_low_resolution,"Map agent (low resolution, 4 chunks/section)",map,"Coarse map: 4 chunks per section, so few large sections.",31,25,6,2,0.96,0.96,0.325,0.96,0.96,0.6667,1.0,121.04,157.08,922,1043.04,885.96,5.8696,-36.04,-18.852,2.5806,1.2258,0.92,2,18.5806,10.2486,10.743
map_agent_high_resolution,"Map agent (high resolution, 1 chunk/section)",map,"Fine map: 1 chunk per section, so many small sections.",31,25,6,2,1.0,1.0,0.4333,1.0,1.0,0.6667,1.0,85.96,157.08,2484,2569.96,2412.88,15.8136,-71.12,-37.9868,3.8065,1.129,1.0,0,10.0,25.5735,26.157
map_agent_full,"Map agent (production default, 6 chunks/section)",map,"Deterministic planner, neighbour expansion, one reflection step.",31,25,6,2,0.92,0.92,0.2907,0.92,0.92,0.6667,1.0,125.68,157.08,467,592.68,435.6,2.973,-31.4,-20.6664,2.0323,1.2581,0.92,3,23.4194,5.4039,5.846
map_agent_adaptive,"Map agent (adaptive, 3 sections/document)",map,Per-document adaptive granularity: every document is divided into about 3 sections instead of a fixed chunks-per-section.,31,25,6,2,1.0,1.0,0.3547,1.0,1.0,0.6667,1.0,120.48,157.08,1358,1478.48,1321.4,8.6453,-36.6,-20.518,3.2581,1.1613,1.0,0,14.2581,14.9753,15.194
map_agent_refine,Map agent (with candidate refinement),ablation,Re-scores the shortlist on full section text before planning. Measured and left off by default because it did not pay for itself.,31,25,6,2,0.96,0.96,0.3047,0.96,0.96,0.6667,1.0,132.0,157.08,467,599.0,441.92,2.973,-25.08,-17.2304,1.8065,1.1613,1.0,1,17.4194,18.9633,19.526
map_agent_no_neighbors,Map agent (no neighbours),ablation,Neighbour expansion disabled; only planned sections are routed.,31,25,6,2,0.92,0.92,0.2907,0.92,0.92,0.6667,1.0,125.68,157.08,467,592.68,435.6,2.973,-31.4,-20.6664,2.0323,1.2581,0.92,3,23.4194,5.2896,5.655
map_agent_no_reflection,Map agent (no reflection),ablation,Single step; weak routed evidence is not expanded or re-fetched.,31,25,6,2,0.84,0.84,0.2407,0.84,0.84,0.8333,0.5,120.28,157.08,467,587.28,430.2,2.973,-36.8,-28.6664,2.0,1.0,1.0,3,12.0,5.258,5.586
map_agent_single_section,Map agent (single section),ablation,One section routed with no neighbours; smallest possible context.,31,25,6,2,0.8,0.8,0.26,0.8,0.8,0.8333,0.5,107.04,157.08,467,574.04,416.96,2.973,-50.04,-35.048,1.0,1.0,1.0,3,6.0,5.1887,5.57
map_agent_oracle_planner,Map agent (oracle planner),upper_bound,Injected planner returns the ground-truth section. Upper bound only; not an LLM measurement.,31,25,6,2,0.92,0.92,0.2907,0.92,0.92,0.6667,1.0,125.68,157.08,467,592.68,435.6,2.973,-31.4,-20.6664,2.0323,1.2581,0.92,3,23.4194,5.3156,5.555
