documents,chunks,variant,label,questions,hit_at_1,hit_at_k,mean_precision,mean_recall,mean_evidence_tokens,map_index_tokens,routing_engaged_rate,mean_latency_ms
8,48,global_topk,Naive lexical RAG (BM25 top-k),25,1.0,1.0,0.2858,1.0,157.08,0,0.0,0.1541
8,48,agentic_no_map,Agentic text RAG (no map),25,1.0,1.0,0.3467,1.0,104.36,0,0.0,0.2025
8,48,map_agent_full,Map agent (production default),25,0.92,0.92,0.2907,0.92,125.68,467,0.92,5.2328
8,48,map_agent_adaptive,Map agent (adaptive),25,1.0,1.0,0.3547,1.0,120.48,1358,1.0,14.948
8,48,map_agent_high_resolution,Map agent (high resolution),25,1.0,1.0,0.4333,1.0,85.96,2484,1.0,25.5468
16,96,global_topk,Naive lexical RAG (BM25 top-k),25,1.0,1.0,0.2128,1.0,169.52,0,0.0,0.3074
16,96,agentic_no_map,Agentic text RAG (no map),25,1.0,1.0,0.2867,1.0,105.0,0,0.0,0.366
16,96,map_agent_full,Map agent (production default),25,0.88,0.88,0.227,0.88,138.8,962,0.96,10.3541
16,96,map_agent_adaptive,Map agent (adaptive),25,1.0,1.0,0.3161,1.0,120.96,2781,1.0,29.444
16,96,map_agent_high_resolution,Map agent (high resolution),25,1.0,1.0,0.4233,1.0,83.12,4710,1.0,45.4662
32,192,global_topk,Naive lexical RAG (BM25 top-k),25,1.0,1.0,0.2081,1.0,172.04,0,0.0,0.5771
32,192,agentic_no_map,Agentic text RAG (no map),25,1.0,1.0,0.2867,1.0,104.76,0,0.0,0.7003
32,192,map_agent_full,Map agent (production default),25,0.88,0.88,0.224,0.88,141.8,1927,0.96,20.6356
32,192,map_agent_adaptive,Map agent (adaptive),25,1.0,1.0,0.3161,1.0,120.96,5656,1.0,59.831
32,192,map_agent_high_resolution,Map agent (high resolution),25,1.0,1.0,0.4233,1.0,83.12,6201,1.0,59.4618
64,384,global_topk,Naive lexical RAG (BM25 top-k),25,0.96,1.0,0.2081,1.0,172.28,0,0.0,1.1343
64,384,agentic_no_map,Agentic text RAG (no map),25,0.96,1.0,0.2867,1.0,105.08,0,0.0,1.3518
64,384,map_agent_full,Map agent (production default),25,0.84,0.88,0.224,0.88,141.8,3870,0.96,42.0657
64,384,map_agent_adaptive,Map agent (adaptive),25,0.96,1.0,0.3161,1.0,120.96,7586,1.0,79.1862
64,384,map_agent_high_resolution,Map agent (high resolution),25,0.96,1.0,0.4233,1.0,83.12,6201,1.0,59.4333
