variant,query_id,question,query_kind,target_document,hard_negative,hit,rank,precision,recall,result_count,evidence_tokens,global_tokens,map_index_tokens,token_delta,token_delta_pct,selected_sections,planned_sections,considered_sections,route_steps,routed,reflection,planner_mode,nodes_scored,latency_ms
naive_vector_rag,q01,Within how many days may a customer request a full refund?,answerable,refund_policy.txt,False,True,1,0.125,1.0,8,248,249,0,-1,-0.4,0,0,0,0,False,False,,48,1.53
naive_vector_rag,q02,What is the refund window for electronics?,answerable,refund_policy.txt,False,True,2,0.125,1.0,8,241,249,0,-8,-3.21,0,0,0,0,False,False,,48,1.293
naive_vector_rag,q03,How many business days does refund settlement take?,answerable,refund_policy.txt,False,True,2,0.125,1.0,8,250,250,0,0,0.0,0,0,0,0,False,False,,48,1.406
naive_vector_rag,q04,How long does domestic ground shipping take?,answerable,shipping_times.txt,False,True,1,0.125,1.0,8,235,118,0,117,99.15,0,0,0,0,False,False,,48,1.357
naive_vector_rag,q05,When is expedited delivery available?,answerable,shipping_times.txt,False,True,1,0.125,1.0,8,242,253,0,-11,-4.35,0,0,0,0,False,False,,48,1.262
naive_vector_rag,q06,How long does international customs clearance take?,answerable,shipping_times.txt,False,True,1,0.125,1.0,8,237,59,0,178,301.69,0,0,0,0,False,False,,48,1.346
naive_vector_rag,q07,How long is the manufacturer warranty?,answerable,warranty_terms.txt,False,True,1,0.1429,1.0,7,210,210,0,0,0.0,0,0,0,0,False,False,,48,1.259
naive_vector_rag,q08,What do I need to submit a warranty claim?,answerable,warranty_terms.txt,False,True,1,0.125,1.0,8,238,207,0,31,14.98,0,0,0,0,False,False,,48,1.324
naive_vector_rag,q09,Is water damage covered by warranty?,answerable,warranty_terms.txt,False,True,1,0.125,1.0,8,244,179,0,65,36.31,0,0,0,0,False,False,,48,1.305
naive_vector_rag,q10,What defines a severity 1 incident?,answerable,incident_runbook.txt,False,True,1,0.125,1.0,8,256,165,0,91,55.15,0,0,0,0,False,False,,48,1.654
naive_vector_rag,q11,Who owns the incident response?,answerable,incident_runbook.txt,False,True,1,0.125,1.0,8,253,195,0,58,29.74,0,0,0,0,False,False,,48,1.323
naive_vector_rag,q12,What is the public status update cadence for an outage?,answerable,incident_runbook.txt,False,True,1,0.1429,1.0,7,211,73,0,138,189.04,0,0,0,0,False,False,,48,1.392
naive_vector_rag,q13,What blocks a release?,answerable,release_checklist.txt,False,True,4,0.1429,1.0,7,198,109,0,89,81.65,0,0,0,0,False,False,,48,1.294
naive_vector_rag,q14,How long is the staging soak time?,answerable,release_checklist.txt,False,True,1,0.125,1.0,8,230,208,0,22,10.58,0,0,0,0,False,False,,48,1.31
naive_vector_rag,q15,What is the staged rollout plan for production?,answerable,release_checklist.txt,False,True,1,0.125,1.0,8,239,141,0,98,69.5,0,0,0,0,False,False,,48,1.305
naive_vector_rag,q16,On which working day of the month does the payroll run?,answerable,payroll_policy.txt,False,True,1,0.125,1.0,8,250,181,0,69,38.12,0,0,0,0,False,False,,48,1.377
naive_vector_rag,q17,When are timesheets due?,answerable,payroll_policy.txt,False,True,1,0.3333,1.0,3,86,86,0,0,0.0,0,0,0,0,False,False,,48,1.213
naive_vector_rag,q18,How is overtime paid?,answerable,payroll_policy.txt,False,True,1,0.1667,1.0,6,189,30,0,159,530.0,0,0,0,0,False,False,,48,1.2
naive_vector_rag,q19,What is the default API rate limit quota?,answerable,api_rate_limits.txt,False,True,1,0.125,1.0,8,250,245,0,5,2.04,0,0,0,0,False,False,,48,1.349
naive_vector_rag,q20,What happens when I exceed the burst allowance?,answerable,api_rate_limits.txt,False,True,1,0.125,1.0,8,241,62,0,179,288.71,0,0,0,0,False,False,,48,1.426
naive_vector_rag,q21,How should clients handle throttling responses?,answerable,api_rate_limits.txt,False,True,2,0.125,1.0,8,235,88,0,147,167.05,0,0,0,0,False,False,,48,1.516
naive_vector_rag,q22,Which principle governs access grants?,answerable,access_control.txt,False,True,1,0.125,1.0,8,233,152,0,81,53.29,0,0,0,0,False,False,,48,1.327
naive_vector_rag,q23,Is multi factor authentication mandatory?,answerable,access_control.txt,False,True,1,0.1667,1.0,6,181,26,0,155,596.15,0,0,0,0,False,False,,48,1.306
naive_vector_rag,q24,How are break glass accounts reviewed?,answerable,access_control.txt,False,True,1,0.25,1.0,4,121,152,0,-31,-20.39,0,0,0,0,False,False,,48,1.302
naive_vector_rag,q25,What is the quarterly access review cadence?,answerable,access_control.txt,False,True,1,0.125,1.0,8,231,240,0,-9,-3.75,0,0,0,0,False,False,,48,1.316
naive_vector_rag,n01,What is the office wifi password?,no_match,,False,False,0,0.0,0.0,3,96,0,0,96,0.0,0,0,0,0,False,False,,48,1.267
naive_vector_rag,n02,Who won the 2022 world cup final?,no_match,,True,False,0,0.0,0.0,8,229,33,0,196,593.94,0,0,0,0,False,False,,48,1.348
naive_vector_rag,n03,What is the capital city of Portugal?,no_match,,False,False,0,0.0,0.0,2,59,0,0,59,0.0,0,0,0,0,False,False,,48,1.246
naive_vector_rag,n04,Can you book me a flight to Tokyo?,no_match,,True,False,0,0.0,0.0,7,220,32,0,188,587.5,0,0,0,0,False,False,,48,1.285
naive_vector_rag,n05,What is the recommended daily calorie intake for adults?,no_match,,False,False,0,0.0,0.0,8,234,0,0,234,0.0,0,0,0,0,False,False,,48,1.379
naive_vector_rag,n06,Explain quantum chromodynamics lattice gauge theory.,no_match,,False,False,0,0.0,0.0,8,254,0,0,254,0.0,0,0,0,0,False,False,,48,1.389
global_topk,q01,Within how many days may a customer request a full refund?,answerable,refund_policy.txt,False,True,1,0.125,1.0,8,249,249,0,0,0.0,0,0,0,0,False,False,,48,0.204
global_topk,q02,What is the refund window for electronics?,answerable,refund_policy.txt,False,True,1,0.125,1.0,8,249,249,0,0,0.0,0,0,0,0,False,False,,48,0.199
global_topk,q03,How many business days does refund settlement take?,answerable,refund_policy.txt,False,True,1,0.125,1.0,8,250,250,0,0,0.0,0,0,0,0,False,False,,48,0.318
global_topk,q04,How long does domestic ground shipping take?,answerable,shipping_times.txt,False,True,1,0.25,1.0,4,118,118,0,0,0.0,0,0,0,0,False,False,,48,0.165
